,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
61,Dark,None,60,105,60,120,60,105,5,0,Fire,None,73,76,75,81,100,100,1,0,0
62,Fight,None,105,140,95,55,65,45,5,0,Grass,None,56,61,65,48,45,38,6,0,0
63,Bug,Poison,60,100,89,55,69,112,5,0,Poison,Ground,81,102,77,85,75,85,1,0,0
64,Normal,None,73,115,60,60,60,90,3,0,Water,Ground,105,95,75,85,75,74,5,0,0
65,Psychic,None,62,48,54,63,60,68,6,0,Rock,None,55,75,85,25,25,15,5,0,0
66,Water,Dark,70,140,70,110,65,105,3,0,Electric,None,20,40,15,35,35,60,2,0,0
67,Water,Flying,60,50,100,85,70,65,3,0,Grass,None,75,80,95,90,100,50,2,0,0
68,Grass,None,80,82,100,83,100,80,2,0,Rock,Fight,91,129,90,72,90,108,5,1,1
69,Dark,None,41,50,37,50,37,66,5,0,Fight,None,50,120,53,35,110,87,1,0,1
70,Bug,Rock,20,10,230,10,230,5,2,0,Fire,None,78,84,78,109,85,100,2,0,1
71,Psychic,None,55,50,45,135,95,120,1,0,Water,None,64,66,68,81,76,50,4,0,0
72,Grass,Steel,44,50,91,24,86,10,5,0,Grass,None,70,60,75,110,75,90,5,0,1
73,Dark,None,64,88,50,88,50,106,5,0,Grass,None,75,75,95,75,95,113,5,0,1
74,Dragon,Ice,125,170,100,120,90,95,5,1,Poison,Ground,81,102,77,85,75,85,1,0,0
75,Electric,None,80,120,79,95,79,70,4,0,Water,None,170,90,45,90,45,60,3,0,0
76,Steel,None,40,55,70,45,60,30,5,0,Water,Ice,90,70,80,70,95,70,1,0,1
77,Psychic,None,75,125,70,125,70,115,4,1,Grass,Poison,80,100,123,122,120,80,1,0,0
78,Water,None,30,45,55,70,55,85,1,0,Normal,None,84,71,43,71,43,48,3,0,0
79,Normal,None,105,125,100,60,100,100,1,0,Dragon,Psychic,80,80,90,110,130,110,3,1,1
80,Bug,Flying,70,60,62,80,82,60,3,0,Grass,Dragon,70,110,75,145,85,145,3,0,1
81,Normal,Flying,50,55,50,36,30,43,5,0,Ground,Dark,50,72,35,35,35,65,5,0,1
82,Normal,Psychic,100,77,77,128,128,90,5,0,Water,Poison,80,70,65,80,120,100,1,0,1
83,Psychic,None,45,30,50,65,50,45,4,0,Electric,Ice,50,65,107,105,107,86,4,0,1
84,Ground,Psychic,40,40,55,40,70,55,3,0,Poison,Ground,90,92,87,75,85,76,1,0,1
85,Fire,None,58,64,58,80,65,80,1,0,Dark,Ghost,50,85,125,85,115,20,3,0,1
86,Bug,None,65,73,55,47,75,85,3,0,Fire,Flying,90,100,90,125,85,90,1,1,1
87,Water,Flying,45,20,50,60,120,50,4,0,Fire,None,75,98,63,98,63,101,5,0,1
88,Ghost,Dragon,150,120,100,120,100,90,4,1,Ghost,None,45,100,135,65,135,45,4,0,0
89,Steel,Psychic,67,89,116,79,116,33,4,0,Bug,Steel,70,130,100,55,80,65,2,0,1
90,Dark,Steel,45,85,70,40,40,60,5,0,Dark,None,95,65,110,60,130,65,2,0,1
91,Psychic,Fairy,28,25,25,45,35,40,3,0,Ghost,None,44,75,35,63,33,45,3,0,1
92,Electric,Steel,70,70,115,130,90,60,4,0,Fire,Flying,78,81,71,74,69,126,6,0,1
93,Dragon,None,61,84,65,70,70,70,1,0,Dark,Psychic,53,54,53,37,46,45,6,0,0
94,Rock,Water,35,40,100,90,55,35,1,0,Water,None,100,75,115,90,115,85,2,1,1
95,Fire,None,44,58,44,58,44,61,4,0,Rock,Fight,91,129,90,72,90,108,5,1,1
96,Bug,Steel,75,90,140,60,60,40,2,0,Water,None,100,75,115,90,115,85,2,1,1
97,Fire,None,44,58,44,58,44,61,4,0,Bug,Grass,75,103,80,70,80,92,5,0,1
98,Water,None,35,65,35,65,35,65,2,0,Normal,Flying,45,40,60,40,75,50,3,0,0
99,Flying,Dragon,85,70,80,97,80,123,6,0,Ground,None,90,60,60,40,40,40,2,0,0
100,Grass,Fairy,40,27,60,37,50,66,5,0,Water,Grass,60,50,50,60,70,50,3,0,0
101,Water,None,53,51,53,61,56,40,4,0,Bug,Flying,65,65,45,75,45,95,2,0,1
102,Bug,Electric,50,47,50,57,50,65,5,0,Ground,None,45,100,45,45,45,10,3,0,0
103,Fire,None,44,58,44,58,44,61,4,0,Poison,Ground,81,102,77,85,75,85,1,0,1
104,Normal,None,50,45,45,35,35,50,3,0,Dragon,None,65,95,100,60,50,50,3,0,1
105,Normal,None,75,100,66,60,66,115,4,0,Electric,Steel,25,35,70,95,55,45,1,0,0
106,Psychic,None,55,50,45,135,95,120,1,0,Dragon,None,90,100,70,110,150,80,6,0,0
107,Poison,Flying,40,45,35,30,40,55,1,0,Fire,None,70,90,45,15,45,50,5,0,0
108,Fire,None,39,52,43,60,50,65,1,0,Ghost,Fire,60,40,60,95,60,55,5,0,0
109,Fairy,None,126,131,95,131,98,99,6,1,Normal,None,150,160,100,95,65,100,3,0,1
110,Electric,None,70,55,55,80,60,45,2,0,Bug,Steel,60,69,95,69,95,36,4,0,0
111,Dragon,Ground,68,90,65,50,55,82,4,0,Normal,None,85,110,90,45,90,80,5,0,0
112,Ice,Water,90,60,70,75,70,45,3,0,Electric,None,60,50,40,85,75,95,3,0,1
113,Fight,None,65,105,60,60,70,95,1,0,Grass,None,40,40,50,30,30,30,3,0,0
114,Steel,Dragon,100,120,120,150,100,90,4,1,Normal,Water,79,85,60,55,60,71,4,0,0
115,Water,Flying,95,125,79,60,100,81,1,0,Rock,Water,30,80,90,55,45,55,1,0,0
116,Bug,Poison,60,55,50,40,55,45,1,0,Fight,None,50,120,53,35,110,87,1,0,1
117,Rock,Grass,66,41,77,61,87,23,3,0,Dragon,None,61,84,65,70,70,70,1,0,1
118,Steel,Ground,75,85,200,55,65,30,2,0,Bug,Flying,61,90,45,50,50,160,3,0,1
119,Grass,Fight,60,130,80,60,60,70,3,0,Ice,None,80,120,80,120,80,100,3,0,1
120,Grass,Dark,70,70,40,60,40,60,3,0,Poison,None,55,47,52,40,40,41,1,0,0
121,Fire,None,70,85,140,85,70,20,3,0,Psychic,Fairy,40,45,65,100,120,90,1,0,0
122,Ghost,Poison,60,65,80,170,95,130,1,0,Rock,Psychic,70,55,65,95,85,70,3,0,0
123,Poison,Dark,70,90,110,60,75,95,4,0,Grass,Poison,60,70,65,125,105,90,4,0,0
124,Fight,None,75,125,75,30,75,85,5,0,Water,Ground,105,95,75,85,75,74,5,0,0
125,Normal,None,59,45,40,35,40,31,4,0,Normal,Fairy,115,45,20,45,25,20,1,0,0
126,Ground,None,45,100,45,45,45,10,3,0,Water,None,80,80,80,80,80,80,4,0,1
127,Water,Flying,60,50,100,85,70,65,3,0,Bug,Flying,70,110,80,55,80,105,1,0,1
128,Grass,Poison,75,80,85,110,90,50,1,0,Steel,Rock,50,70,100,40,40,30,3,0,0
129,Fire,None,58,64,58,80,65,80,2,0,Fire,Fight,90,93,55,70,55,55,5,0,0
130,Dark,Psychic,86,92,88,68,75,73,6,0,Water,None,80,92,65,65,80,68,1,0,0
131,Fire,None,58,64,58,80,65,80,1,0,Normal,None,55,20,35,20,45,75,2,0,0
132,Bug,Fire,55,85,55,50,55,60,5,0,Rock,Flying,80,105,65,60,75,130,1,0,1
133,Normal,Flying,35,85,45,35,35,75,1,0,Ghost,Dark,50,92,108,92,108,35,4,0,1
134,Rock,Bug,75,125,100,70,80,45,3,0,Fight,None,70,80,50,35,35,35,1,0,0
135,Fire,Ground,70,100,70,105,75,40,3,0,Fire,Flying,106,130,90,110,154,90,2,1,1
136,Normal,Psychic,70,80,65,90,65,85,2,0,Grass,Poison,45,50,55,75,65,30,1,0,0
137,Fire,Normal,62,50,58,73,54,72,6,0,Ice,Flying,45,55,45,65,45,75,2,0,1
138,Dragon,None,77,120,90,60,90,48,5,0,Water,Flying,65,40,70,80,140,70,2,0,1
139,Electric,Fire,50,65,107,105,107,86,4,0,Grass,Poison,40,30,35,50,70,55,4,0,0
140,Water,Fairy,100,50,80,60,80,50,2,0,Psychic,Flying,67,57,55,77,55,114,5,0,1
141,Water,None,55,104,105,94,75,52,3,0,Psychic,None,45,30,50,55,65,45,5,0,0
142,Ground,None,10,55,25,35,45,95,1,0,Water,None,55,55,45,63,45,45,5,0,1
143,Bug,Poison,60,55,50,40,55,45,1,0,Poison,None,65,90,120,85,70,60,1,0,1
144,Rock,Flying,75,140,65,112,65,110,5,0,Water,Flying,95,125,79,60,100,81,1,0,0
145,Psychic,None,120,70,120,75,130,85,4,0,Ghost,Grass,43,70,48,50,60,38,6,0,0
146,Rock,Bug,45,95,50,40,50,75,3,0,Psychic,None,120,70,120,75,130,85,4,0,1
147,Dragon,None,45,75,60,40,30,50,3,0,Psychic,Fairy,68,85,65,165,135,100,3,0,1
148,Rock,Water,60,115,105,65,70,80,1,0,Fire,Fight,90,93,55,70,55,55,5,0,0
149,Psychic,Fairy,68,65,65,125,115,80,3,0,Rock,Dark,100,134,110,95,100,61,2,0,0
150,Electric,Steel,25,35,70,95,55,45,1,0,Water,None,20,15,20,10,55,80,3,0,0
151,Bug,Poison,60,55,50,40,55,45,1,0,Electric,None,60,90,55,90,80,110,1,0,1
152,Fire,None,78,84,78,109,85,100,2,0,Normal,None,75,80,60,65,90,102,6,0,1
153,Bug,Flying,60,45,50,90,80,70,1,0,Electric,None,60,50,70,80,80,140,1,0,1
154,Electric,Grass,50,65,107,105,107,86,4,0,Bug,None,45,22,60,27,30,29,6,0,0
155,Fire,Fight,60,85,60,85,60,55,3,0,Water,None,65,45,55,45,70,45,1,0,0
156,Electric,None,60,40,50,75,85,95,3,0,Water,Flying,75,87,63,87,63,98,5,0,1
157,Grass,Ground,95,109,105,75,85,56,4,0,Psychic,None,106,150,70,194,120,140,1,1,1
158,Psychic,None,70,55,95,95,110,65,5,0,Dark,Flying,70,55,75,45,65,60,5,0,1
159,Bug,None,45,22,60,27,30,29,6,0,Bug,Steel,71,120,95,120,95,99,5,0,1
160,Grass,Dark,70,70,40,60,40,60,3,0,Ghost,Grass,49,66,70,44,55,51,6,0,0
161,Fairy,None,95,70,73,95,90,60,1,0,Ground,None,50,50,95,40,50,35,1,0,0
162,Poison,None,105,105,75,65,100,50,1,0,Bug,Flying,61,90,45,50,50,160,3,0,0
163,Ice,None,80,50,100,100,200,50,3,1,Ice,None,80,80,80,80,80,80,3,0,1
164,Poison,Dark,63,63,47,41,41,74,4,0,Ice,Water,90,60,70,75,70,45,3,0,0
165,Grass,None,70,85,65,105,85,120,3,0,Rock,Flying,80,135,85,70,95,150,1,0,1
166,Rock,Flying,80,105,65,60,75,130,1,0,Bug,Steel,60,69,95,69,95,36,4,0,0
167,Bug,Flying,70,60,62,80,82,60,3,0,Grass,Poison,80,100,123,122,120,80,1,0,1
168,Psychic,None,80,105,105,105,105,80,4,1,Poison,None,60,85,69,65,79,80,1,0,1
169,Ghost,Dragon,150,100,120,100,120,90,4,1,Rock,Ground,50,64,50,45,50,41,2,0,0
170,Water,Ground,100,110,90,85,90,60,3,0,Electric,None,70,75,80,135,80,135,3,0,1
171,Bug,Fight,80,125,75,40,95,85,2,0,Normal,None,73,95,62,85,65,85,2,0,1
172,Normal,None,70,70,70,70,70,70,3,0,Dragon,Flying,105,180,100,180,100,115,3,1,1
173,Dragon,None,61,84,65,70,70,70,1,0,Ghost,Grass,49,66,70,44,55,51,6,0,0
174,Normal,None,135,85,40,40,85,5,4,0,Dragon,Psychic,80,90,80,130,110,110,3,1,0
175,Rock,Dark,100,134,110,95,100,61,2,0,Fire,Flying,90,100,90,125,85,90,1,1,1
176,Ghost,Flying,90,50,34,60,44,70,4,0,Fight,None,75,80,55,25,35,35,5,0,0
177,Dark,None,70,90,90,135,90,125,4,1,Normal,None,55,66,44,44,56,85,4,0,0
178,Water,Fairy,70,20,50,20,50,40,2,0,Ghost,Grass,65,90,122,58,75,84,6,0,1
179,Normal,None,60,90,70,60,120,40,3,0,Fire,Flying,78,81,71,74,69,126,6,0,1
180,Psychic,Fairy,20,25,45,70,90,60,4,0,Electric,None,90,75,85,115,90,55,2,0,0
181,Poison,None,60,85,69,65,79,80,1,0,Psychic,Flying,55,45,43,55,43,72,5,0,0
182,Poison,None,70,62,67,55,55,56,1,0,Dragon,Ground,108,130,95,80,85,102,4,0,1
183,Dark,Ice,70,120,65,45,85,125,4,0,Poison,Flying,85,90,80,70,80,130,2,0,1
184,Water,None,80,92,65,65,80,68,1,0,Psychic,None,85,73,70,73,115,67,1,0,0
185,Fire,None,58,64,58,80,65,80,1,0,Bug,Poison,30,45,59,30,39,57,5,0,0
186,Bug,None,65,125,100,55,70,85,1,0,Bug,Ground,31,45,90,30,30,40,3,0,0
187,Rock,Ground,80,120,130,55,65,45,1,0,Water,Flying,45,20,50,60,120,50,4,0,1
188,Rock,None,70,105,105,50,40,20,5,0,Electric,Water,50,65,107,105,107,86,4,0,0
189,Fight,None,67,82,62,46,48,43,6,0,Ground,None,35,80,50,50,70,120,1,0,1
190,Bug,None,50,65,90,35,35,15,2,0,Fire,None,59,59,58,90,70,73,6,0,1
191,Water,None,71,73,88,120,89,59,6,0,Electric,None,65,85,70,75,70,40,5,0,0
192,Dragon,Electric,100,150,120,120,100,90,5,1,Water,None,53,51,53,61,56,40,4,0,0
193,Normal,Flying,65,90,65,61,61,100,1,0,Ghost,Dragon,150,100,120,100,120,90,4,1,1
194,Normal,Flying,83,80,75,70,70,101,1,0,Rock,Fairy,50,100,150,100,150,50,6,1,0
195,Bug,Fire,55,85,55,50,55,60,5,0,Electric,None,65,65,60,110,95,130,1,0,1
196,Psychic,Fairy,68,65,65,125,115,80,3,0,Normal,None,75,95,60,65,60,115,5,0,1
197,Electric,Flying,90,90,85,125,90,100,1,1,Electric,None,85,115,80,105,80,50,5,0,0
198,Bug,Poison,70,65,60,90,75,90,1,0,Steel,Ghost,59,110,150,45,49,35,6,0,1
199,Dark,Ice,70,120,65,45,85,125,4,0,Water,None,53,51,53,61,56,40,4,0,0
200,Rock,Ice,77,59,50,67,63,46,6,0,Fire,None,115,115,85,90,75,100,2,1,1
201,Bug,Fight,80,125,75,40,95,85,2,0,Fight,Steel,70,145,88,140,70,112,4,0,1
202,Normal,Flying,83,80,75,70,70,101,1,0,Psychic,Flying,72,58,80,103,80,97,5,0,0
203,Poison,None,105,105,75,65,100,50,1,0,Water,Dragon,75,95,95,95,95,85,2,0,1
204,Rock,None,30,45,135,45,90,30,3,0,Normal,None,110,160,110,80,110,100,4,1,1
205,Grass,None,100,100,125,110,50,50,4,0,Water,None,44,48,65,50,64,43,1,0,0
206,Rock,None,85,135,130,60,80,25,5,0,Bug,Steel,60,69,95,69,95,36,4,0,1
207,Ghost,Grass,43,70,48,50,60,38,6,0,Water,Dark,70,120,40,95,40,95,3,0,1
208,Ghost,Fire,50,30,55,65,55,20,5,0,Fairy,None,60,80,50,40,40,30,2,0,1
209,Psychic,Flying,72,58,80,103,80,97,5,0,Bug,Grass,60,95,80,60,80,30,1,0,0
210,Psychic,None,75,75,130,75,130,95,4,1,Bug,Steel,71,120,95,120,95,99,5,0,1
211,Fire,Fight,76,104,71,104,71,108,4,0,Water,None,35,65,35,65,35,65,2,0,0
212,Ice,None,65,60,110,130,95,65,4,0,Rock,Water,42,52,67,39,56,50,6,0,0
213,Bug,None,45,30,35,20,20,45,1,0,Ghost,Poison,60,65,80,170,95,130,1,0,1
214,Rock,Grass,66,41,77,61,87,23,3,0,Rock,Water,30,80,90,55,45,55,1,0,1
215,Ghost,None,60,60,60,105,105,105,4,0,Ground,Dragon,50,70,50,50,50,70,3,0,0
216,Bug,None,65,125,100,55,70,85,1,0,Bug,Fire,55,85,55,50,55,60,5,0,0
217,Fire,Ground,70,100,70,105,75,40,3,0,Fairy,None,54,45,47,75,98,52,6,0,1
218,Bug,Fight,80,185,115,40,105,75,2,0,Ground,Ghost,59,74,50,35,50,35,5,0,1
219,Bug,Flying,60,70,50,100,50,65,3,0,Bug,Poison,40,55,99,40,79,47,5,0,0
220,Poison,None,80,80,50,40,50,25,1,0,Fire,None,115,115,85,90,75,100,2,1,1
221,Normal,Flying,45,50,43,40,38,62,6,0,Bug,None,65,125,100,55,70,85,1,0,1
222,Water,None,80,92,65,65,80,68,1,0,Fight,Dark,95,124,78,69,71,58,6,0,0
223,Water,None,70,92,65,80,55,98,5,0,Water,None,30,105,90,25,25,50,1,0,0
224,Normal,None,40,45,35,40,40,90,1,0,Fire,Fight,110,123,65,100,65,65,5,0,1
225,Bug,Electric,70,77,60,97,60,108,5,0,Water,None,130,65,60,110,95,65,1,0,0
226,Ghost,None,58,50,145,95,105,30,5,0,Fairy,None,78,52,60,63,65,23,6,0,0
227,Ground,Flying,75,95,125,45,75,95,4,0,Normal,Flying,40,60,30,31,31,70,1,0,0
228,Dark,Flying,126,131,95,131,98,99,6,1,Ghost,Flying,150,80,44,90,54,80,4,0,0
229,Normal,Flying,45,40,60,40,75,50,3,0,Grass,Flying,99,68,83,72,87,51,3,0,1
230,Normal,Fairy,103,60,126,80,126,50,5,0,Rock,None,70,105,105,50,40,20,5,0,0
231,Grass,Ice,90,132,105,132,105,30,4,0,Rock,None,85,135,130,60,80,25,5,0,0
232,Normal,None,85,80,70,135,75,90,4,0,Ground,None,100,150,140,100,90,90,3,1,1
233,Psychic,None,40,35,30,120,70,105,1,0,Rock,Steel,30,42,118,42,88,30,4,0,0
234,Psychic,None,75,125,70,125,70,115,4,1,Normal,None,78,70,61,50,61,100,3,0,0
235,Poison,None,100,73,83,73,83,55,3,0,Ghost,None,20,40,90,30,90,25,3,0,0
236,Normal,Flying,70,83,50,37,50,60,5,0,Water,None,45,67,60,35,50,63,1,0,1
237,Water,Ground,95,85,85,65,65,35,2,0,Rock,Fight,91,129,90,72,90,108,5,1,1
238,Fight,Psychic,60,60,75,60,75,80,3,0,Normal,None,60,90,70,60,120,40,3,0,0
239,Fight,None,85,105,85,40,50,40,5,0,Water,Poison,80,70,65,80,120,100,1,0,1
240,Ghost,Grass,65,90,122,58,75,84,6,0,Normal,Flying,76,65,45,92,42,91,4,0,1
241,Ground,Fire,100,180,160,150,90,90,3,1,Bug,Water,40,30,32,50,52,65,3,0,0
242,Normal,Flying,40,60,30,31,31,70,1,0,Fire,Flying,62,73,55,56,52,84,6,0,1
243,Bug,Grass,60,59,85,79,105,36,4,0,Ice,Water,70,40,50,55,50,25,3,0,0
244,Dragon,Psychic,80,130,100,160,120,110,3,1,Dragon,Ground,108,130,95,80,85,102,4,0,0
245,Psychic,None,116,55,85,107,95,29,5,0,Rock,Dragon,82,121,119,69,59,71,6,0,1
246,Fight,None,65,105,60,60,70,95,1,0,Rock,Ground,55,95,115,45,45,35,1,0,0
247,Fight,None,50,95,95,35,110,70,2,0,Bug,Steel,75,90,140,60,60,40,2,0,0
248,Grass,Poison,80,100,123,122,120,80,1,0,Rock,Water,35,40,100,90,55,35,1,0,0
249,Ghost,Dragon,150,120,100,120,100,90,4,1,Steel,Rock,70,110,180,60,60,50,3,0,0
250,Bug,Water,40,30,32,50,52,65,3,0,Normal,None,110,160,110,80,110,100,4,1,1
251,Dark,None,95,65,110,60,130,65,2,0,Normal,Flying,40,55,30,30,30,60,4,0,0
252,Water,None,50,53,48,53,48,64,5,0,Water,Flying,40,30,30,55,30,85,3,0,1
253,Bug,Flying,65,65,45,75,45,95,2,0,Ice,None,51,65,65,80,75,59,5,0,0
254,Normal,Flying,35,85,45,35,35,75,1,0,Rock,Dragon,82,121,119,69,59,71,6,0,0
255,Fight,None,50,105,79,35,110,76,1,0,Dragon,None,46,87,60,30,40,57,5,0,0
256,Psychic,Fairy,40,45,65,100,120,90,1,0,Psychic,None,25,20,15,105,55,90,1,0,1
257,Normal,None,85,110,90,45,90,80,5,0,Ice,None,50,50,50,50,50,50,3,0,0
258,Ice,None,36,50,50,65,60,44,5,0,Psychic,None,190,33,58,33,58,33,2,0,0
259,Fight,None,72,60,30,20,30,25,3,0,Psychic,None,106,110,90,154,90,130,1,1,1
260,Bug,Poison,40,35,30,20,20,50,1,0,Psychic,Fight,106,190,100,154,100,130,1,1,1
261,Water,Fight,91,72,90,129,90,108,5,0,Fairy,None,35,20,65,40,65,20,2,0,0
262,Grass,Poison,75,80,85,110,90,50,1,0,Ground,None,35,80,50,50,70,120,1,0,0
263,Fire,None,40,40,40,70,40,20,2,0,Bug,None,77,85,51,55,51,65,4,0,1
264,Normal,Flying,62,77,62,50,42,65,5,0,Ice,None,95,110,80,70,80,50,5,0,0
265,Ice,None,55,69,85,32,35,28,6,0,Water,None,54,63,52,83,56,97,6,0,1
266,Dragon,Psychic,80,90,80,130,110,110,3,1,Bug,Steel,71,120,95,120,95,99,5,0,0
267,Rock,Ground,80,120,130,55,65,45,1,0,Fight,Steel,70,145,88,140,70,112,4,0,1
268,Normal,None,85,80,70,135,75,90,4,0,Fire,Flying,90,100,90,125,85,90,1,1,1
269,Fight,None,50,120,53,35,110,87,1,0,Ground,None,10,55,25,35,45,95,1,0,1
270,Psychic,None,80,45,65,90,110,80,3,0,Psychic,None,45,30,50,55,65,45,5,0,0
271,Bug,Poison,60,55,50,40,55,45,1,0,Electric,Ghost,50,50,77,95,77,91,4,0,1
