,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
45132,Normal,Fight,100,128,90,77,77,128,5,0,Water,None,95,60,79,100,125,81,3,0,0
45133,Grass,None,75,80,95,90,100,50,2,0,Fairy,None,82,80,86,85,75,72,6,0,1
45134,Normal,Flying,60,30,30,36,56,50,2,0,Water,Dark,72,95,67,103,71,122,6,0,1
45135,Normal,Flying,85,120,70,50,60,100,4,0,Psychic,None,76,25,45,67,55,24,5,0,0
45136,Fire,Fight,80,160,80,130,80,100,3,0,Bug,Flying,70,60,62,80,82,60,3,0,0
45137,Electric,None,40,45,40,65,40,65,3,0,Electric,None,35,55,40,45,40,60,5,0,0
45138,Poison,Dark,70,90,110,60,75,95,4,0,Normal,None,49,55,42,42,37,85,4,0,0
45139,Grass,Poison,69,55,45,55,55,15,5,0,Fire,Psychic,105,30,105,140,105,55,5,0,1
45140,Fairy,None,35,20,65,40,65,20,2,0,Bug,Grass,55,63,90,50,80,42,5,0,1
45141,Water,Ground,75,65,55,65,55,69,5,0,Fire,None,39,52,43,60,50,65,1,0,0
45142,Ghost,Grass,55,85,122,58,75,99,6,0,Fire,None,45,75,37,70,55,83,2,0,0
45143,Poison,None,80,95,82,60,82,75,5,0,Ice,Water,110,80,90,95,90,65,3,0,0
45144,Bug,Poison,40,55,99,40,79,47,5,0,Fairy,None,78,52,60,63,65,23,6,0,0
45145,Ghost,Dragon,150,120,100,120,100,90,4,1,Fight,None,65,105,60,60,70,95,1,0,1
45146,Ghost,Grass,75,95,122,58,75,69,6,0,Grass,Flying,55,45,50,45,65,80,2,0,1
45147,Bug,Flying,70,110,80,55,80,105,1,0,Bug,Fire,85,60,65,135,105,100,5,0,0
45148,Grass,Flying,35,35,40,35,55,50,2,0,Rock,Flying,80,135,85,70,95,150,1,0,1
45149,Electric,None,35,55,40,50,50,90,1,0,Psychic,None,106,110,90,154,90,130,1,1,1
45150,Normal,None,40,45,35,40,40,90,1,0,Dark,Fire,75,90,90,140,90,115,2,0,1
45151,Electric,Flying,90,90,85,125,90,100,1,1,Fire,Flying,78,84,78,109,85,100,1,0,1
45152,Ground,Steel,110,135,60,50,65,88,5,0,Water,None,75,105,75,105,75,45,2,0,0
45153,Fire,Normal,86,68,72,109,66,106,6,0,Fire,Dragon,78,130,111,130,85,100,1,0,0
45154,Water,None,20,10,55,15,20,80,1,0,Steel,None,60,80,95,70,85,50,5,0,1
45155,Water,Ground,100,110,90,85,90,60,3,0,Normal,None,75,95,60,65,60,115,5,0,1
45156,Bug,Poison,65,150,40,15,80,145,1,0,Water,Rock,55,55,85,65,85,35,2,0,0
45157,Fire,Flying,62,73,55,56,52,84,6,0,Grass,None,56,61,65,48,45,38,6,0,0
45158,Water,Dark,72,95,67,103,71,122,6,0,Grass,Poison,69,55,45,55,55,15,5,0,0
45159,Fire,Flying,78,81,71,74,69,126,6,0,Normal,None,250,5,5,35,105,50,1,0,0
45160,Ground,None,108,112,118,68,72,47,4,0,Dragon,Ice,125,170,100,120,90,95,5,1,1
45161,Bug,Flying,60,45,50,90,80,70,1,0,Rock,Dark,100,134,110,95,100,61,2,0,0
45162,Poison,None,80,80,50,40,50,25,1,0,Ice,Psychic,65,50,35,115,95,95,1,0,0
45163,Ghost,Grass,49,66,70,44,55,51,6,0,Water,None,35,65,35,65,35,65,2,0,1
45164,Normal,Flying,40,55,30,30,30,60,4,0,Water,Dragon,90,120,100,150,120,100,4,1,1
45165,Rock,None,97,165,60,65,50,58,4,0,Bug,Poison,40,55,99,40,79,47,5,0,0
45166,Bug,Steel,75,90,140,60,60,40,2,0,Ghost,Grass,75,95,122,58,75,69,6,0,1
45167,Grass,None,45,35,50,70,50,30,5,0,Bug,Grass,45,53,70,40,60,42,5,0,1
45168,Steel,None,70,140,230,60,80,50,3,0,Normal,None,60,90,70,60,120,40,3,0,0
45169,Dark,Steel,65,125,100,60,70,70,5,0,Water,None,90,75,75,90,100,70,2,0,1
45170,Ghost,Grass,54,66,70,44,55,46,6,0,Dark,Flying,70,55,75,45,65,60,5,0,1
45171,Dragon,Ground,108,170,115,120,95,92,4,0,Rock,Dragon,82,121,119,69,59,71,6,0,0
45172,Steel,Ghost,45,80,100,35,37,28,6,0,Dragon,None,46,87,60,30,40,57,5,0,1
45173,Bug,Poison,65,90,40,45,80,75,1,0,Ground,Psychic,60,70,105,70,120,75,3,0,1
45174,Ice,Flying,90,85,100,95,125,85,1,1,Ground,None,68,72,78,38,42,32,4,0,0
45175,Fire,None,45,75,37,70,55,83,2,0,Normal,Flying,40,55,30,30,30,60,4,0,0
45176,Normal,None,55,81,60,50,70,97,1,0,Normal,Flying,85,120,70,50,60,100,4,0,1
45177,Normal,Flying,40,60,30,31,31,70,1,0,Rock,None,70,105,105,50,40,20,5,0,1
45178,Fairy,None,54,45,47,75,98,52,6,0,Electric,Grass,50,65,107,105,107,86,4,0,1
45179,Psychic,Fairy,68,65,65,125,115,80,3,0,Fight,None,70,80,50,35,35,35,1,0,0
45180,Dark,Ghost,50,85,125,85,115,20,3,0,Ground,Flying,89,145,90,105,80,91,5,1,1
45181,Normal,Flying,45,50,43,40,38,62,6,0,Bug,None,65,47,55,73,75,85,3,0,1
45182,Rock,Psychic,70,95,85,55,65,70,3,0,Grass,Fight,60,130,80,60,60,70,3,0,1
45183,Fire,None,105,140,55,30,55,95,5,0,Bug,Grass,60,59,85,79,105,36,4,0,0
45184,Grass,Poison,60,65,70,85,75,40,1,0,Water,None,35,65,35,65,35,65,2,0,1
45185,Water,Flying,65,40,70,80,140,70,2,0,Ground,Flying,89,125,90,115,80,101,5,1,1
45186,Dark,Psychic,86,92,88,68,75,73,6,0,Fairy,None,90,120,75,60,60,45,2,0,0
45187,Dragon,Psychic,80,90,80,130,110,110,3,1,Water,Dark,45,90,20,65,20,65,3,0,1
45188,Normal,Fight,100,128,90,77,77,128,5,0,Rock,Dark,100,134,110,95,100,61,2,0,0
45189,Fire,None,40,45,40,62,60,60,6,0,Water,None,50,52,48,65,50,55,1,0,0
45190,Normal,None,73,115,60,60,60,90,3,0,Normal,None,160,110,65,65,110,30,1,0,0
45191,Normal,Psychic,100,77,77,128,128,90,5,0,Grass,None,65,110,130,60,65,95,4,0,1
45192,Water,Grass,40,30,30,40,50,30,3,0,Electric,None,90,75,85,115,90,55,2,0,1
45193,Grass,None,75,89,85,55,65,36,4,0,Fire,None,45,60,40,70,50,45,3,0,1
45194,Bug,Flying,70,110,80,55,80,105,1,0,Ground,Flying,65,75,105,35,65,85,2,0,0
45195,Bug,Flying,70,110,80,55,80,105,1,0,Grass,None,45,35,45,62,53,35,4,0,0
45196,Water,Fairy,100,50,80,60,80,50,2,0,Normal,Flying,76,65,45,92,42,91,4,0,1
45197,Rock,Fight,91,129,90,72,90,108,5,1,Dragon,None,68,75,53,83,113,60,6,0,0
45198,Poison,Ground,90,92,87,75,85,76,1,0,Normal,None,85,80,90,105,95,60,2,0,0
45199,Bug,Poison,65,150,40,15,80,145,1,0,Bug,Poison,40,60,40,40,40,30,2,0,0
45200,Steel,Rock,70,110,180,60,60,50,3,0,Water,None,30,45,55,70,55,85,1,0,1
45201,Normal,None,40,45,35,40,40,90,1,0,Rock,None,70,105,105,50,40,20,5,0,1
45202,Water,None,75,75,60,83,60,60,5,0,Water,None,75,105,75,105,75,45,2,0,0
45203,Steel,None,70,140,230,60,80,50,3,0,Water,Rock,74,108,133,83,65,32,5,0,0
45204,Ice,None,80,120,80,120,80,100,3,0,Normal,Flying,52,65,55,58,62,60,1,0,0
45205,Rock,Ground,80,120,130,55,65,45,1,0,Normal,Psychic,100,77,77,128,128,90,5,0,1
45206,Bug,Poison,45,25,50,25,25,35,1,0,Water,None,55,130,115,50,50,75,1,0,1
45207,Ghost,None,64,165,75,93,83,75,3,0,Dragon,Electric,100,150,120,120,100,90,5,1,1
45208,Normal,Flying,52,65,55,58,62,60,1,0,Ghost,Fire,50,30,55,65,55,20,5,0,1
45209,Water,Flying,45,20,50,60,120,50,4,0,Fire,None,45,60,40,70,50,45,3,0,0
45210,Steel,Ghost,45,80,100,35,37,28,6,0,Rock,Ground,70,84,70,65,70,51,2,0,1
45211,Bug,Fight,80,125,75,40,95,85,2,0,Dragon,Ground,58,70,45,40,45,42,4,0,0
45212,Water,Flying,40,30,30,55,30,85,3,0,Psychic,None,50,95,90,95,90,180,3,1,1
45213,Ghost,Poison,60,65,80,170,95,130,1,0,Grass,None,40,45,35,65,55,70,3,0,0
45214,Normal,Flying,60,85,60,50,50,125,3,0,Bug,Flying,80,52,50,90,50,89,6,0,0
45215,Water,Ground,55,45,45,25,25,15,2,0,Electric,None,65,85,70,75,70,40,5,0,1
45216,Bug,Flying,30,30,42,30,42,70,4,0,Water,None,20,10,55,15,20,80,1,0,1
45217,Bug,Poison,65,150,40,15,80,145,1,0,Water,None,69,69,76,69,86,91,4,0,0
45218,Water,None,44,48,65,50,64,43,1,0,Grass,Poison,75,80,85,110,90,50,1,0,1
45219,Water,Rock,74,108,133,83,65,32,5,0,Normal,Water,79,85,60,55,60,71,4,0,1
45220,Water,None,75,75,60,83,60,60,5,0,Psychic,None,65,50,70,95,80,65,3,0,1
45221,Water,Ground,100,110,90,85,90,60,3,0,Steel,Rock,70,110,180,60,60,50,3,0,0
45222,Bug,None,37,25,41,25,41,25,4,0,Electric,Flying,50,65,107,105,107,86,4,0,1
45223,Electric,None,45,65,34,40,34,45,4,0,Water,Grass,60,50,50,60,70,50,3,0,1
45224,Grass,None,60,40,60,40,60,35,3,0,Normal,Flying,50,55,50,36,30,43,5,0,1
45225,Normal,Grass,80,100,70,60,70,95,5,0,Normal,None,78,70,61,50,61,100,3,0,1
45226,Bug,Fight,80,125,75,40,95,85,2,0,Water,Ice,50,95,180,85,45,70,1,0,0
45227,Bug,None,50,20,55,25,25,30,1,0,Fairy,None,70,45,48,60,65,35,1,0,1
45228,Normal,Flying,50,55,50,36,30,43,5,0,Bug,None,65,73,55,47,75,85,3,0,1
45229,Ground,Ghost,59,74,50,35,50,35,5,0,Steel,Psychic,80,135,130,95,90,70,3,0,1
45230,Water,Flying,65,40,70,80,140,70,2,0,Normal,Flying,65,90,65,61,61,100,1,0,1
45231,Water,Flying,40,30,30,55,30,85,3,0,Normal,None,75,95,60,65,60,115,5,0,1
45232,Normal,None,30,56,35,25,35,72,1,0,Bug,Flying,55,35,50,55,110,85,2,0,1
45233,Water,Dragon,75,95,95,95,95,85,2,0,Bug,Flying,65,155,120,65,90,105,1,0,1
45234,Poison,None,70,43,53,43,53,40,3,0,Electric,None,60,85,49,60,49,60,4,0,1
45235,Water,None,20,15,20,10,55,80,3,0,Fairy,None,90,120,75,60,60,45,2,0,1
45236,Water,Fight,91,72,90,129,90,108,5,0,Bug,Flying,30,30,42,30,42,70,4,0,0
45237,Normal,None,103,60,86,60,86,50,5,0,Water,None,71,73,88,120,89,59,6,0,1
45238,Water,Ground,111,83,68,92,82,39,4,0,Fight,Psychic,60,100,85,80,85,100,3,0,1
45239,Water,None,55,65,95,95,45,85,1,0,Fire,None,65,95,57,100,85,93,1,0,1
45240,Grass,None,45,49,65,49,65,45,2,0,Bug,Steel,75,90,140,60,60,40,2,0,0
45241,Water,None,30,105,90,25,25,50,1,0,Normal,None,38,30,41,30,41,60,3,0,1
45242,Ground,Psychic,60,70,105,70,120,75,3,0,Dragon,Flying,95,145,130,120,90,120,3,0,1
45243,Ghost,None,45,100,135,65,135,45,4,0,Steel,Ground,75,85,200,55,65,30,2,0,0
45244,Rock,Fairy,50,100,150,100,150,50,6,1,Psychic,None,74,48,76,83,81,104,6,0,1
45245,Ice,Ground,100,100,80,60,60,50,2,0,Grass,Ground,95,109,105,75,85,56,4,0,1
45246,Normal,None,80,80,80,55,55,90,3,0,Poison,None,70,43,53,43,53,40,3,0,0
45247,Electric,Grass,50,65,107,105,107,86,4,0,Poison,None,100,73,83,73,83,55,3,0,0
45248,Normal,None,255,10,10,75,135,55,2,0,Ghost,Poison,30,35,30,100,35,80,1,0,1
45249,Normal,None,85,80,70,135,75,90,4,0,Dragon,Ice,125,120,90,170,100,95,5,1,1
45250,Ghost,Poison,60,65,60,130,75,110,1,0,Psychic,None,70,55,95,95,110,65,5,0,0
45251,Dragon,None,41,64,45,50,50,50,1,0,Water,Ice,130,85,80,85,95,60,1,0,1
45252,Dragon,Ground,108,170,115,120,95,92,4,0,Grass,Steel,44,50,91,24,86,10,5,0,0
45253,Electric,None,60,85,49,60,49,60,4,0,Steel,Psychic,67,89,116,79,116,33,4,0,0
45254,Ground,Flying,89,125,90,115,80,101,5,1,Psychic,Fairy,20,25,45,70,90,60,4,0,0
45255,Fire,None,55,70,45,70,50,60,1,0,Water,Ground,70,85,70,60,70,50,3,0,0
45256,Psychic,None,55,50,45,135,95,120,1,0,Psychic,Fight,106,190,100,154,100,130,1,1,1
45257,Normal,None,104,91,63,91,73,68,3,0,Bug,Flying,80,52,50,90,50,89,6,0,1
45258,Psychic,None,25,20,15,105,55,90,1,0,Psychic,Fight,106,190,100,154,100,130,1,1,1
45259,Fire,Flying,106,130,90,110,154,90,2,1,Steel,Psychic,80,145,150,105,110,110,3,0,1
45260,Psychic,None,70,55,95,95,110,65,5,0,Electric,None,70,75,80,135,80,135,3,0,1
45261,Water,Psychic,95,75,80,100,110,30,2,0,Bug,None,50,75,45,40,45,60,5,0,1
45262,Psychic,None,75,125,70,125,70,115,4,1,Fairy,Flying,85,50,95,120,115,80,4,0,0
45263,Water,Dark,95,155,109,70,130,81,1,0,Dark,Flying,70,55,75,45,65,60,5,0,0
45264,Water,None,65,45,55,45,70,45,1,0,Water,Flying,75,87,63,87,63,98,5,0,1
45265,Steel,None,70,140,230,60,80,50,3,0,Bug,Rock,50,65,85,35,35,55,5,0,1
45266,Fire,None,39,52,43,60,50,65,1,0,Grass,Poison,50,60,45,100,80,65,3,0,1
